Doc..Date,Ship.to.nu,Subrand,Segment.LE
2020-09-01,200,COCA,G
2021-09-19,206,COCA,G
2020-06-17,205,WATER,P
2021-10-04,204,SPRITE,XG
2020-03-15,204,MILK,XG
2020-01-02,204,MILK,M
2021-11-13,200,WATER,P
2021-09-13,200,MILK,M
2021-11-30,201,WATER,XG
2021-01-12,204,COCA,M
2020-08-11,203,PEPSI,M
2020-10-21,206,WATER,XG
2021-07-30,206,WATER,P
2021-01-10,208,WATER,M
2020-02-20,208,SPRITE,G
2021-01-15,206,PEPSI,XG
2020-01-13,208,JUICE,XG
2021-08-28,210,WATER,G
2021-03-03,206,JUICE,M
2021-12-27,205,JUICE,G
2020-12-26,210,JUICE,XG
2021-07-13,200,COCA,XG
2021-11-21,204,PEPSI,P
2021-05-20,208,WATER,M
2021-08-31,208,SPRITE,M
2020-12-06,209,COCA,XG
2020-10-22,204,SPRITE,G
2021-05-25,205,JUICE,G
2021-02-25,202,WATER,P
2021-08-15,200,WATER,XG
2021-05-16,209,PEPSI,P
2021-11-26,206,MILK,M
2021-08-11,201,SPRITE,M
2020-02-02,209,SPRITE,XG
2020-07-17,209,SPRITE,XG
2021-06-24,203,JUICE,P
2020-09-10,204,JUICE,G
2020-03-14,201,WATER,XG
2020-08-10,203,SPRITE,G
2021-06-11,200,COCA,G
2021-12-17,203,PEPSI,G
2020-09-23,203,COCA,M
2021-08-15,201,PEPSI,M
2021-12-29,200,WATER,G
2021-11-02,207,JUICE,M
2021-04-01,210,PEPSI,XG
2020-07-28,205,COCA,M
2020-03-07,207,COCA,P
2020-06-19,209,COCA,G
2021-07-19,206,COCA,P
2020-06-25,203,SPRITE,P
2021-07-04,206,JUICE,G
2021-04-27,205,PEPSI,P
2021-09-03,204,SPRITE,XG
2021-11-18,203,JUICE,XG
2021-09-25,204,MILK,P
2021-05-25,208,PEPSI,XG
2020-07-07,207,JUICE,XG
2021-09-30,204,COCA,G
2021-08-22,208,COCA,P
2021-01-21,204,SPRITE,P
2020-05-13,210,COCA,P
2020-08-26,205,COCA,G
2021-04-22,209,SPRITE,M
2020-11-06,203,SPRITE,XG
2020-12-07,207,MILK,P
2021-10-12,202,SPRITE,XG
2021-05-14,200,COCA,M
2020-10-13,205,COCA,XG
2021-11-26,207,JUICE,M
2020-11-05,208,WATER,G
2020-11-20,204,SPRITE,M
2021-08-25,205,WATER,M
2021-02-20,204,COCA,M
2021-10-30,210,PEPSI,XG
2021-02-09,210,MILK,M
2020-08-31,209,PEPSI,M
2021-10-14,205,MILK,XG
2021-02-12,208,MILK,G
2021-02-06,206,PEPSI,XG
2020-06-17,200,WATER,M
2020-02-02,203,SPRITE,G
2020-10-04,207,COCA,G
2020-07-24,209,WATER,P
2021-01-02,207,COCA,M
2020-07-31,203,PEPSI,G
2021-11-30,200,PEPSI,G
2021-09-24,204,JUICE,P
2021-09-26,201,SPRITE,XG
2021-05-29,201,MILK,P
2021-05-28,210,JUICE,P
2020-12-02,203,MILK,M
2021-06-20,205,WATER,G
2020-12-06,205,PEPSI,P
2020-12-10,202,COCA,P
2020-07-27,205,SPRITE,M
2021-07-20,208,COCA,XG
2021-01-21,203,WATER,G
2020-08-30,201,SPRITE,G
2021-11-13,202,PEPSI,G
2020-11-18,201,WATER,G
2021-04-24,203,SPRITE,M
2021-05-28,206,JUICE,XG
2020-01-06,210,WATER,P
2021-12-02,206,PEPSI,P
2021-06-05,204,COCA,XG
2020-01-02,208,JUICE,G
2020-10-18,202,MILK,XG
2020-06-19,201,SPRITE,XG
2020-05-26,205,MILK,P
2021-03-15,209,JUICE,M
2020-04-10,200,JUICE,P
2021-08-09,203,SPRITE,M
2020-10-04,206,PEPSI,G
2020-10-23,204,WATER,P
2021-12-11,201,SPRITE,XG
2020-01-31,207,MILK,G
2021-04-25,201,SPRITE,XG
2020-09-22,203,PEPSI,M
2021-05-14,209,WATER,M
2020-04-04,203,COCA,M
2020-10-12,209,WATER,P
2021-02-18,209,WATER,G
2020-07-10,203,MILK,XG
2020-08-30,206,WATER,G
2020-07-28,208,MILK,G
2020-10-22,205,COCA,G
2020-03-19,203,COCA,XG
2020-11-01,202,JUICE,XG
2020-05-21,204,WATER,XG
2020-07-06,205,MILK,G
2021-11-12,208,COCA,P
2020-12-29,210,SPRITE,G
2020-01-24,207,JUICE,XG
2021-11-01,208,SPRITE,XG
2021-03-06,206,PEPSI,M
2021-07-21,206,SPRITE,G
2020-03-31,202,JUICE,P
2020-07-08,210,MILK,M
2020-08-18,209,COCA,G
2020-01-06,208,PEPSI,P
2021-11-29,206,COCA,G
2021-05-01,206,SPRITE,G
2020-11-27,200,WATER,P
2021-09-02,208,WATER,M
2021-12-16,204,COCA,G
2020-01-03,202,SPRITE,XG
2020-01-03,205,WATER,G
2020-08-02,206,WATER,G
2020-10-03,208,JUICE,P
2020-05-26,210,PEPSI,P
2021-12-08,209,COCA,G
2020-12-27,206,JUICE,P
2021-04-30,203,COCA,G
2021-08-03,207,COCA,G
2020-11-14,201,PEPSI,XG
2020-03-04,210,WATER,XG
2020-09-21,205,COCA,P
2020-03-03,203,WATER,P
2020-01-05,210,COCA,G
2020-01-23,210,COCA,P
2020-02-03,202,JUICE,G
2021-10-21,206,JUICE,XG
2021-02-20,208,COCA,G
2020-07-01,206,SPRITE,XG
2020-11-18,208,COCA,XG
2021-11-13,204,WATER,XG
2021-03-15,209,WATER,M
2021-08-21,208,SPRITE,M
2021-02-21,203,PEPSI,M
2020-02-05,204,WATER,XG
2020-03-12,209,JUICE,P
2021-07-10,206,PEPSI,XG
2020-01-20,208,SPRITE,M
2020-09-20,205,JUICE,G
2021-06-18,202,PEPSI,G
2020-09-04,205,MILK,XG
2021-03-13,200,MILK,M
2020-07-01,204,SPRITE,G
2021-08-10,205,JUICE,XG
2021-03-20,208,MILK,P
2021-05-23,203,JUICE,G
2020-03-24,206,MILK,XG
2020-08-20,210,MILK,XG
2021-01-19,206,SPRITE,G
2020-12-12,201,PEPSI,XG
2021-07-06,204,SPRITE,M
2020-01-05,210,PEPSI,M
2021-01-12,200,WATER,G
2020-08-18,208,MILK,P
2021-08-24,206,WATER,XG
2021-11-07,210,JUICE,M
2021-02-10,203,SPRITE,G
2020-07-13,201,PEPSI,M
2021-06-15,201,COCA,M
2021-09-11,205,SPRITE,G
2020-02-11,203,PEPSI,M
2021-08-04,201,PEPSI,M
2021-02-28,206,WATER,G
2020-10-17,201,WATER,P
2020-06-15,206,MILK,M
2021-04-27,202,SPRITE,P
2021-03-24,203,SPRITE,G
2021-07-06,209,PEPSI,P
2020-03-19,210,PEPSI,G
2020-11-18,207,PEPSI,G
2020-10-04,202,MILK,G
2021-02-21,207,JUICE,M
2021-01-20,203,PEPSI,XG
2021-07-18,202,SPRITE,G
2021-07-14,210,MILK,P
2021-05-22,204,JUICE,XG
2020-07-02,208,SPRITE,XG
2021-02-02,201,WATER,P
2020-11-05,207,MILK,P
2021-04-21,204,SPRITE,G
2020-05-24,204,SPRITE,P
2020-11-13,205,SPRITE,XG
2020-08-28,206,COCA,XG
2020-03-09,203,PEPSI,M
2021-12-08,207,MILK,P
2020-01-08,209,PEPSI,P
2020-03-30,200,SPRITE,XG
2021-01-13,200,SPRITE,G
2020-12-11,200,SPRITE,M
2021-01-26,200,SPRITE,P
2021-04-11,200,SPRITE,M
2021-06-16,204,COCA,M
2021-09-18,201,MILK,M
2021-07-03,203,WATER,M
2020-12-11,209,PEPSI,P
2021-08-23,206,JUICE,M
2021-01-30,207,SPRITE,G
2021-08-17,206,SPRITE,P
2020-01-19,206,SPRITE,M
2020-12-11,208,WATER,G
2021-04-19,205,SPRITE,XG
2020-08-13,204,WATER,M
2020-05-12,200,COCA,M
2020-04-26,200,PEPSI,P
2021-04-23,203,MILK,XG
2021-08-21,209,MILK,P
2020-04-17,210,PEPSI,G
2021-08-25,208,MILK,G
2020-08-06,205,JUICE,XG
2020-02-04,209,MILK,M
2020-05-02,210,MILK,XG
2020-03-21,204,JUICE,G
2020-03-08,202,JUICE,P
2021-06-30,204,SPRITE,XG
2020-05-30,205,COCA,XG
2020-11-13,210,WATER,M
2020-12-27,205,PEPSI,M
2021-10-30,206,WATER,XG
2020-10-08,201,PEPSI,XG
2020-05-07,210,PEPSI,P
2021-07-25,201,MILK,XG
2020-01-03,200,WATER,M
2020-06-26,203,COCA,G
2021-12-20,208,SPRITE,G
2020-02-13,208,JUICE,M
2021-12-16,202,PEPSI,M
2021-08-24,201,JUICE,M
2020-06-20,206,JUICE,P
2021-06-10,208,WATER,P
2020-12-01,210,MILK,XG
2020-12-18,208,SPRITE,G
2020-03-08,201,COCA,M
2021-10-02,201,COCA,XG
2021-01-06,202,JUICE,M
2020-01-08,200,JUICE,XG
2020-05-22,207,PEPSI,M
2021-02-25,201,JUICE,XG
2020-12-30,201,WATER,G
2021-02-07,203,PEPSI,XG
2021-05-29,207,WATER,XG
2021-03-29,209,JUICE,G
2020-05-12,206,SPRITE,XG
2020-09-18,200,SPRITE,M
2020-11-21,208,JUICE,G
2021-10-01,201,JUICE,P
2020-07-13,201,JUICE,P
2021-11-06,208,MILK,M
2021-02-14,205,COCA,P
2021-12-01,208,COCA,G
2021-01-18,204,PEPSI,G
2020-12-20,203,MILK,G
2021-02-10,209,SPRITE,M
2020-02-01,203,SPRITE,M
2020-09-18,210,MILK,M
2020-08-28,204,JUICE,M
2021-01-09,207,MILK,XG
2021-04-25,205,MILK,XG
2020-04-14,204,SPRITE,P
2020-01-16,206,JUICE,XG
2020-11-04,210,PEPSI,M
2020-10-03,206,MILK,P
2020-11-23,204,PEPSI,P
2021-07-03,206,COCA,P
2021-05-21,202,SPRITE,M
2021-01-05,206,SPRITE,XG
2021-06-23,203,PEPSI,XG
2020-11-26,203,COCA,XG
2021-12-07,202,WATER,M
2021-07-04,210,COCA,M
2021-12-06,201,MILK,M
2021-11-07,209,PEPSI,XG
2021-05-13,209,JUICE,XG
2020-12-25,203,COCA,XG
2020-03-21,203,SPRITE,XG
2020-04-25,210,COCA,G
2021-05-24,202,WATER,XG
2021-04-26,205,COCA,G
2021-03-27,210,SPRITE,G
2021-08-17,200,WATER,M
2020-01-25,204,PEPSI,G
2020-07-24,206,JUICE,M
2021-10-02,208,COCA,P
2020-01-19,206,JUICE,M
2020-09-29,204,MILK,M
2021-10-10,207,COCA,P
2020-08-18,207,MILK,P
2020-02-23,200,JUICE,G
2020-09-17,202,COCA,M
2021-03-23,200,WATER,G
2021-11-23,201,SPRITE,G
2021-12-01,210,JUICE,P
2020-10-24,201,WATER,G
2020-09-21,205,MILK,G
2020-08-07,210,PEPSI,M
2021-03-07,201,JUICE,M
2020-12-26,205,COCA,P
2020-05-16,210,SPRITE,M
2020-08-05,204,JUICE,P
2021-01-15,208,SPRITE,M
2020-06-20,210,WATER,P
2020-11-20,204,JUICE,XG
2021-07-04,205,MILK,M
2020-02-12,207,COCA,M
2020-08-10,202,WATER,M
2020-03-14,204,JUICE,XG
2021-01-30,204,WATER,P
2020-10-07,209,PEPSI,G
2020-09-22,202,COCA,XG
2021-06-01,201,JUICE,G
2020-06-25,207,SPRITE,M
2021-04-02,200,JUICE,G
2021-07-25,205,SPRITE,XG
2020-11-20,204,MILK,P
2020-04-03,200,MILK,M
2020-02-08,209,SPRITE,G
2021-10-31,200,MILK,G
2021-10-22,205,MILK,M
2020-05-06,200,WATER,XG
2020-03-08,204,JUICE,XG
2020-01-12,209,MILK,G
2020-04-17,205,SPRITE,M
2021-04-08,200,SPRITE,XG
2020-11-14,201,PEPSI,G
2021-08-27,205,PEPSI,M
2021-11-18,208,SPRITE,P
2020-02-19,207,COCA,P
2020-02-25,205,MILK,M
2020-08-18,209,SPRITE,G
2021-09-27,209,SPRITE,P
2021-04-15,203,PEPSI,G
2020-11-25,209,SPRITE,P
2020-05-02,202,COCA,G
2021-11-03,205,MILK,XG
2021-01-08,204,SPRITE,G
2020-12-25,201,COCA,G
2020-10-20,206,COCA,G
2020-04-24,204,SPRITE,G
2021-10-14,206,PEPSI,XG
2020-02-04,200,WATER,M
2021-02-11,202,MILK,M
2020-02-06,202,WATER,G
2021-04-11,202,PEPSI,G
2021-01-26,204,PEPSI,M
2021-12-14,204,PEPSI,M
2021-12-30,200,JUICE,M
2021-06-03,206,MILK,M
2020-05-08,209,COCA,P
2020-10-16,210,SPRITE,XG
2021-03-01,205,MILK,G
2021-01-25,205,MILK,XG
2021-12-07,207,WATER,G
2020-10-31,204,WATER,P
2021-10-12,207,WATER,P
2021-03-19,207,COCA,M
2021-08-02,203,PEPSI,M
2021-04-02,207,MILK,M
2020-05-06,208,WATER,M
2020-04-21,204,PEPSI,M
2021-06-04,201,JUICE,M
2020-08-16,206,JUICE,XG
2021-02-16,208,JUICE,XG
2021-12-19,204,COCA,M
2021-08-26,208,MILK,G
2020-11-12,204,WATER,P
2021-10-11,204,MILK,XG
2021-02-03,207,SPRITE,M
2020-02-16,200,COCA,XG
2020-11-04,208,MILK,M
2021-10-22,206,JUICE,XG
2020-05-12,209,JUICE,G
2021-04-16,208,MILK,P
2020-07-31,203,SPRITE,M
2021-04-09,209,COCA,M
2021-02-02,205,JUICE,G
2020-08-17,201,JUICE,P
2020-05-24,210,PEPSI,XG
2020-03-24,206,SPRITE,XG
2021-01-12,206,WATER,P
2021-08-25,208,MILK,P
2020-01-14,200,JUICE,M
2021-03-09,201,COCA,P
2020-08-14,210,MILK,P
2020-08-02,204,COCA,XG
2021-01-31,203,COCA,P
2020-05-24,204,COCA,M
2021-01-18,209,MILK,XG
2020-03-30,205,COCA,P
2020-05-16,207,JUICE,M
2020-03-16,201,JUICE,M
2020-01-17,200,WATER,P
2020-10-09,201,WATER,M
2020-07-28,208,COCA,G
2020-04-05,210,MILK,G
2020-04-14,203,WATER,G
2021-02-01,203,PEPSI,G
2021-06-13,210,WATER,G
2020-10-08,202,PEPSI,XG
2020-03-02,210,MILK,G
2020-08-03,208,MILK,G
2021-07-01,210,PEPSI,P
2021-01-12,208,PEPSI,XG
2020-05-02,209,JUICE,G
2020-03-14,206,PEPSI,G
2021-10-05,201,PEPSI,M
2020-08-06,206,MILK,M
2020-02-15,200,MILK,M
2021-09-01,201,MILK,G
2020-12-09,210,WATER,P
2021-08-10,209,JUICE,G
2020-03-05,206,COCA,M
2020-04-22,200,MILK,P
2021-07-07,209,JUICE,XG
2021-10-24,207,PEPSI,M
2021-10-10,203,JUICE,P
2020-09-14,204,JUICE,M
2020-09-30,200,WATER,P
2020-10-13,207,SPRITE,XG
2020-12-10,201,MILK,M
2021-11-02,205,WATER,P
2021-11-06,200,WATER,P
2021-01-17,210,MILK,M
2021-07-30,209,COCA,G
2021-02-23,206,COCA,G
2021-04-08,206,WATER,XG
2020-03-12,209,WATER,M
2020-03-02,203,PEPSI,XG
2021-12-03,200,SPRITE,XG
2021-10-25,203,PEPSI,G
2021-01-29,206,WATER,XG
2020-12-15,202,WATER,M
2020-01-01,209,MILK,G
2020-06-28,209,PEPSI,P
2021-10-08,208,WATER,G
2021-06-04,208,JUICE,XG
2021-01-01,205,WATER,P
2021-06-25,202,JUICE,G
2020-02-01,207,COCA,M
2021-07-24,201,MILK,G
2020-03-31,209,JUICE,P
2020-12-03,205,COCA,M
2020-01-15,209,JUICE,P
2021-11-08,204,COCA,P
2021-02-06,205,WATER,XG
2020-12-01,206,PEPSI,XG
2021-06-30,202,COCA,P
2020-07-20,209,SPRITE,G
2020-09-11,202,SPRITE,XG
2020-08-01,210,MILK,P
2021-08-09,201,WATER,XG
2021-05-25,206,PEPSI,XG
2020-02-17,200,COCA,XG
2021-05-04,207,SPRITE,P
2021-11-09,209,MILK,G
2021-10-02,201,JUICE,XG
2021-01-05,206,PEPSI,M
2020-12-12,208,SPRITE,XG
2020-02-26,209,PEPSI,M
2021-06-13,202,SPRITE,M
2020-03-08,202,WATER,G
2020-03-31,201,WATER,G
2021-04-12,208,MILK,M
2020-10-11,205,WATER,P
2020-04-11,200,SPRITE,XG
2020-03-17,206,MILK,P
2020-12-12,206,MILK,M
2021-05-02,207,JUICE,M
2021-05-27,206,COCA,G
2021-02-22,205,JUICE,G
2021-05-26,203,MILK,P
2020-02-01,201,COCA,P
2020-10-09,201,COCA,XG
2021-12-08,205,PEPSI,P
2021-03-24,202,JUICE,M
2021-11-18,204,JUICE,XG
2021-12-17,204,SPRITE,M
2020-04-24,206,MILK,XG
2020-08-31,204,MILK,G
2020-07-29,205,JUICE,G
2021-08-12,209,WATER,P
2020-11-12,204,COCA,XG
2020-11-03,200,PEPSI,XG
2021-07-12,202,PEPSI,XG
2021-06-18,209,WATER,XG
2020-11-25,205,WATER,XG
2020-03-10,206,JUICE,G
2021-09-10,204,WATER,G
2020-03-23,207,SPRITE,M
2020-11-11,202,MILK,G
2020-11-26,205,JUICE,P
2021-12-16,210,JUICE,XG
2021-03-28,207,PEPSI,P
2021-06-16,204,PEPSI,XG
2021-12-10,206,WATER,P
2021-03-28,210,SPRITE,XG
2021-06-30,206,PEPSI,G
2021-07-23,209,COCA,G
2021-09-07,208,COCA,XG
2020-01-24,203,MILK,G
2021-03-21,210,PEPSI,M
2020-11-12,208,SPRITE,XG
2020-01-21,210,SPRITE,G
2020-04-14,203,SPRITE,XG
2021-10-11,200,SPRITE,M
2021-01-29,205,JUICE,M
2021-08-02,204,COCA,G
2020-02-21,210,PEPSI,XG
2021-06-24,207,WATER,XG
2021-07-15,208,MILK,XG
2020-01-01,200,JUICE,G
2021-02-05,209,WATER,XG
2020-06-06,202,PEPSI,M
2021-04-08,207,SPRITE,G
2021-02-07,207,COCA,G
2020-05-31,207,SPRITE,P
