Doc..Date,Order.qty
2020-12-10,257
2020-10-25,250
2021-07-13,254
2021-10-05,252
2020-08-17,254
2020-05-20,253
2020-06-08,256
2020-03-21,252
2021-06-04,258
2020-06-13,259
2021-10-21,254
2020-11-23,256
2020-03-23,251
2020-03-29,253
2020-07-03,250
2020-06-17,252
2021-11-07,258
2021-03-17,260
2020-02-28,253
2021-10-03,260
2021-08-27,258
2021-06-16,251
2020-11-27,254
2021-02-16,260
2021-03-26,254
2020-06-06,256
2021-06-26,258
2021-03-07,253
2020-11-01,256
2021-02-27,258
2021-11-13,253
2020-08-14,255
2020-07-12,253
2020-05-10,252
2020-10-13,257
2020-11-14,256
2021-05-13,253
2021-07-28,255
2021-12-08,257
2020-09-22,254
2021-06-24,251
2021-02-01,258
2021-12-10,257
2021-03-26,254
2021-06-15,260
2020-12-22,251
2021-03-03,257
2020-04-16,260
2021-05-17,258
2020-04-19,255
2020-03-04,252
2021-11-11,256
2020-12-02,260
2021-04-18,257
2020-08-30,252
2020-11-25,250
2020-10-14,255
2021-12-18,257
2020-07-08,257
2021-06-15,254
2020-09-21,260
2020-10-27,252
2021-06-28,251
2020-07-04,260
2020-06-29,252
2021-03-04,251
2020-04-08,260
2021-10-12,256
2020-12-25,253
2021-11-24,252
2021-08-20,250
2020-11-07,251
2020-08-28,253
2021-08-30,257
2020-07-08,256
2020-06-13,256
2020-11-23,250
2020-06-27,252
2021-11-11,254
2021-07-23,260
2021-07-12,250
2021-02-15,259
2020-08-31,260
2020-02-05,250
2020-02-02,254
2020-05-16,257
2021-06-13,250
2021-01-11,253
2020-12-19,250
2020-11-30,259
2021-11-29,257
2020-06-11,253
2020-03-20,250
2020-03-31,253
2020-02-19,252
2020-02-26,255
2021-01-01,250
2020-07-26,259
2021-10-14,260
2021-01-05,250
2021-06-10,259
2021-01-03,259
2021-08-13,253
2021-02-26,255
2021-05-06,252
2021-10-31,252
2021-06-27,253
2020-03-23,258
2021-10-31,253
2020-02-25,258
2020-12-19,258
2021-07-05,254
2020-06-22,259
2020-09-10,254
2020-11-16,256
2021-10-11,250
2021-04-21,258
2020-05-28,252
2020-09-05,252
2021-12-24,254
2021-12-11,255
2021-12-30,258
2021-07-01,256
2020-09-09,254
2021-07-05,255
2021-08-04,251
2020-03-09,252
2021-01-28,251
2020-06-12,252
2020-03-30,259
2020-11-22,256
2020-05-01,250
2020-12-07,251
2020-11-06,258
2021-07-06,258
2021-06-26,253
2021-05-09,253
2021-06-17,250
2021-02-25,260
2020-05-26,257
2020-04-18,257
2020-06-09,256
2020-09-14,252
2021-01-13,254
2021-07-22,259
2021-04-17,253
2020-06-07,253
2021-11-28,256
2020-01-25,253
2020-03-18,256
2020-12-01,255
2021-02-22,252
2021-11-30,259
2021-03-06,259
2021-10-16,257
2021-04-08,259
2020-06-01,256
2021-11-13,255
2020-10-03,259
2020-01-27,250
2021-06-17,251
2020-12-19,250
2020-11-27,259
2020-09-26,254
2020-12-29,255
2021-04-03,250
2021-12-21,252
2020-11-04,259
2021-03-04,255
2020-09-29,254
2021-01-15,255
2021-08-14,258
2021-07-25,252
2020-02-24,259
2020-06-15,253
2020-01-11,257
2021-06-18,258
2021-04-29,256
2020-09-13,256
2021-01-04,256
2021-06-21,255
2020-12-24,259
2021-06-07,255
2020-05-11,257
2020-04-12,257
2021-06-13,256
2020-07-16,256
2020-08-06,252
2020-08-02,259
2020-01-17,251
2021-12-10,251
2020-05-25,253
2020-11-28,259
2020-07-04,255
2020-04-25,257
2020-03-11,256
2020-09-07,259
2020-11-05,252
2021-12-14,254
2021-11-16,254
2021-08-14,251
2020-01-12,251
2021-05-28,254
2021-03-27,250
2021-12-24,260
2021-08-30,260
2020-12-05,253
2021-07-20,250
2020-01-13,254
2021-07-05,251
2020-05-08,250
2021-06-24,253
2020-07-13,251
2020-07-05,259
2021-10-17,250
2020-08-16,256
2021-02-26,258
2021-08-11,258
2020-07-20,256
2021-12-30,260
2020-03-23,251
2021-08-31,256
2021-03-29,251
2021-05-12,251
2021-08-22,250
2021-09-03,250
2021-06-05,258
2020-11-15,258
2021-11-20,252
2020-02-12,256
2021-06-07,257
2020-07-22,256
2021-11-29,252
2021-10-08,251
2021-12-26,254
2021-08-23,258
2020-09-14,252
2020-05-01,251
2020-07-18,259
2020-12-21,258
2021-01-29,260
2021-11-01,251
2021-09-08,251
2021-03-09,253
2020-04-04,260
2020-05-01,253
2020-02-27,251
2021-12-30,250
2021-12-14,250
2020-04-27,254
2020-09-28,255
2020-07-23,250
2020-07-28,255
2020-03-15,253
2021-04-02,252
2021-02-02,253
2020-06-10,260
2020-09-26,256
2021-06-19,251
2020-10-18,250
2021-09-08,252
2020-02-14,259
2020-05-27,250
2021-06-01,259
2020-04-18,255
2021-06-27,257
2020-01-14,259
2021-09-18,255
2020-06-28,258
2020-06-16,250
2021-07-09,251
2020-04-03,252
2021-01-08,254
2020-10-17,260
2021-10-14,258
2020-03-31,254
2020-09-01,252
2021-06-14,252
2021-02-24,256
2021-04-14,256
2021-03-08,250
2020-12-04,251
2020-01-21,252
2020-01-31,258
2021-02-21,260
2021-03-11,253
2021-04-30,255
2021-01-28,259
2020-08-24,253
2021-03-22,253
2021-03-12,259
2021-07-07,259
2021-08-14,254
2021-07-07,260
2021-06-18,258
2021-04-21,252
2020-02-25,257
2020-09-03,253
2020-11-01,250
2021-03-02,254
2021-02-13,257
2021-09-03,257
2021-12-20,251
2020-08-07,257
2020-09-07,258
2021-05-20,256
2021-11-12,259
2021-11-26,260
2021-11-06,252
2020-01-14,259
2020-07-14,259
2020-11-16,257
2021-11-16,254
2021-05-17,254
2021-07-19,257
2021-09-30,252
2020-01-13,258
2020-05-24,258
2021-10-13,260
2020-09-03,260
2021-08-14,250
2021-11-26,250
2020-10-01,253
2020-08-13,257
2020-10-23,257
2021-12-29,251
2020-08-05,257
2020-01-11,255
2021-01-11,253
2021-06-23,256
2020-05-20,260
2021-11-12,258
2020-08-06,255
2021-07-31,258
2020-06-21,257
2021-02-10,256
2021-10-15,257
2021-03-04,255
2020-07-14,252
2020-09-03,255
2021-12-05,252
2020-02-08,252
2020-08-14,256
2020-06-04,254
2020-01-14,254
2021-09-17,257
2020-05-22,253
2021-08-05,257
2020-05-07,256
2021-11-10,250
2020-10-07,257
2021-11-28,256
2020-07-30,258
2021-02-27,253
2020-09-25,250
2020-05-28,260
2020-12-08,254
2021-06-01,251
2020-09-26,259
2020-04-04,259
2020-09-12,258
2020-08-06,257
2020-10-12,253
2021-04-02,259
2021-12-20,251
2021-11-23,255
2020-05-11,253
2021-08-01,253
2020-02-21,253
2020-06-01,258
2020-10-01,255
2020-10-31,259
2021-01-28,257
2021-11-20,256
2020-02-25,256
2020-11-15,252
2021-12-02,253
2021-07-27,259
2020-11-19,255
2020-10-11,253
2020-09-30,252
2021-06-13,254
2020-06-24,255
2020-05-31,257
2020-06-18,257
2021-02-23,260
2021-01-06,260
2020-05-27,256
2021-03-21,255
2021-06-24,253
2020-03-02,257
2021-08-20,253
2020-09-29,256
2021-02-02,250
2020-12-02,255
2021-03-25,256
2020-08-24,255
2021-12-16,259
2020-05-04,253
2021-04-23,251
2021-06-26,250
2021-07-01,256
2020-01-16,255
2020-10-08,254
2020-10-29,259
2020-10-08,252
2020-11-19,254
2021-08-01,260
2020-08-14,255
2021-01-27,253
2021-07-26,252
2020-05-06,252
2021-02-14,259
2021-06-12,254
2021-07-12,255
2021-05-01,260
2021-12-08,257
2020-02-11,258
2020-03-29,251
2020-05-11,252
2020-01-16,257
2020-02-17,251
2020-11-14,254
2021-04-16,259
2020-09-07,251
2021-06-18,250
2020-02-12,253
2020-12-09,254
2021-12-04,258
2021-12-22,258
2021-08-27,252
2020-04-14,252
2020-07-23,258
2020-04-10,258
2021-04-03,255
2021-05-16,251
2021-12-30,260
2020-07-23,260
2020-09-21,259
2020-05-16,256
2021-11-17,256
2021-09-15,260
2021-03-03,253
2021-03-20,254
2020-12-23,252
2020-12-27,260
2020-09-28,257
2020-02-03,250
2020-02-04,250
2020-05-15,250
2020-07-29,255
2020-01-01,258
2021-10-03,260
2020-06-08,258
2021-08-30,251
2020-09-24,257
2020-08-04,260
2021-01-11,251
2021-09-23,254
2020-01-16,253
2021-10-21,255
2021-05-18,259
2021-10-21,252
2021-09-03,251
2021-06-10,254
2021-12-06,253
2020-05-21,260
2020-05-22,252
2021-05-05,251
2020-09-24,258
2021-07-24,256
2020-08-07,254
2021-09-02,254
2020-12-06,253
2021-02-21,250
2020-06-18,259
2020-07-08,254
2020-06-27,250
2021-09-13,258
2021-09-22,257
2021-07-27,256
2020-08-20,250
2021-02-20,253
2020-09-27,250
2021-08-06,257
2020-10-17,254
2020-09-09,260
2021-06-02,255
2020-03-14,258
2020-05-21,254
2021-11-07,251
2020-07-24,257
2020-12-02,255
2020-02-22,258
2021-03-21,256
2021-01-28,260
2020-09-08,252
2020-09-12,252
2021-02-15,256
2021-06-03,255
2021-12-20,250
2021-11-20,258
2021-05-05,259
2021-08-07,260
2020-10-01,257
2020-01-26,250
2021-01-28,259
2021-07-20,252
2020-11-28,252
2021-02-24,252
2021-05-07,255
2020-03-17,253
2020-05-23,257
2020-12-13,253
2021-02-12,258
2020-07-28,255
2020-03-20,256
2021-12-06,260
2021-05-02,259
2020-11-04,259
2020-02-18,256
2020-04-14,258
2020-08-10,251
2021-12-06,257
2020-07-22,259
2021-03-09,257
2020-02-21,257
2021-07-21,252
2020-12-01,253
2020-04-16,253
2020-11-03,257
2021-10-13,254
2021-12-16,254
2020-04-22,258
2021-10-29,256
2020-06-11,257
2021-07-30,255
2020-11-14,260
2021-08-23,260
2021-06-16,251
2020-10-21,260
2021-01-20,255
2021-03-20,255
2021-07-12,257
2021-01-28,259
2020-05-16,253
2021-05-03,258
2020-11-16,256
2021-07-16,260
2020-07-04,251
2020-11-07,260
2021-03-30,255
2020-12-01,258
2021-01-05,250
2020-03-17,253
2021-05-23,250
2021-04-11,251
2020-03-02,257
2020-12-10,258
2021-07-14,256
2020-06-15,253
2021-05-06,259
2021-08-30,260
2020-04-03,255
2020-06-01,260
2021-02-06,259
2020-07-10,256
2021-10-22,257
2021-02-25,252
2021-11-18,252
2020-02-01,254
2021-07-16,257
2021-06-22,256
2020-01-30,259
2021-01-20,250
2020-12-24,255
2020-06-15,251
2021-02-09,257
2020-06-24,260
2021-08-10,256
2021-12-21,257
2020-12-15,255
2020-04-16,255
2021-02-06,259
2021-05-26,250
2021-08-06,251
2021-10-05,252
2021-12-24,252
2021-12-10,255
2020-01-11,258
2020-08-08,260
2021-12-30,259
2021-02-08,260
2020-08-20,252
2021-08-01,256
2020-08-04,258
2020-11-18,251
2020-06-15,259
2021-02-24,259
2021-01-13,255
2021-10-05,253
2020-11-22,253
2020-12-25,252
2020-02-17,251
2021-03-07,253
2021-04-24,252
2021-01-18,258
2021-11-12,258
2020-10-08,254
2020-05-16,254
2020-06-14,254
2020-11-13,260
2021-09-23,257
2020-07-23,253
2021-03-07,258
2020-03-20,254
2020-06-03,259
2020-05-31,252
2021-10-12,250
2021-01-22,259
2021-03-18,260
2021-09-04,253
2021-05-21,257
2021-03-24,250
2021-07-22,256
2021-10-27,252
2021-09-29,255
2020-04-26,254
2021-12-18,255
2020-03-29,256
2021-09-29,256
2021-12-09,251
2021-11-09,259
2020-03-23,259
2021-02-04,250
2021-11-13,250
2021-03-28,259
2020-08-05,255
2021-12-09,255
2021-10-05,251
2020-10-24,255
2021-09-28,253
2020-01-01,251
2020-06-01,251
2021-11-11,260
2020-03-10,256
2020-01-15,258
2021-12-02,253
2021-03-07,256
2020-04-26,260
2020-08-13,250
2020-01-26,256
2021-07-04,260
2020-01-29,257
2021-05-09,259
2020-08-19,254
2020-08-11,260
2021-02-16,252
2020-01-16,254
2020-08-14,255
2020-09-17,250
2020-02-26,253
2020-02-21,251
2020-12-26,259
2021-02-01,259
2021-06-21,256
2020-03-19,253
2021-04-13,258
2021-03-11,250
2021-11-17,254
2021-04-09,257
2021-12-26,256
2020-07-19,255
2021-11-14,260
2020-12-20,260
2020-11-19,250
2020-08-12,258
2020-04-11,250
2021-04-22,252
2020-04-24,255
2021-03-13,259
2020-04-28,255
2021-03-27,251
2020-05-11,258
2020-08-28,258
2021-07-23,256
2021-03-03,255
2021-04-19,253
2021-03-17,253
2020-03-30,257
2020-12-31,250
2021-03-09,256
2020-06-04,259
2020-05-31,250
2020-01-02,255
2020-07-19,255
2020-10-15,257
2020-09-27,251
2021-03-22,257
2020-01-29,254
2020-04-03,253
2020-12-27,253
2020-10-25,251
2021-10-26,258
2020-05-13,254
2020-04-23,252
2020-02-15,259
2020-09-27,253
2020-03-31,259
2020-02-17,259
2021-10-27,260
2021-01-24,254
2021-06-07,255
2021-11-10,253
2021-01-03,250
2020-06-06,258
